game_id,genre
8d2871dec4110407de5b425bc23ca476,Adventure
8d2871dec4110407de5b425bc23ca476,RPG
dd2d044ca582633016a8d409608e8b91,Adventure
dd2d044ca582633016a8d409608e8b91,Indie
dd2d044ca582633016a8d409608e8b91,Platform
5e0584a88f09854e6e01a6045cb3cabb,Adventure
5e0584a88f09854e6e01a6045cb3cabb,Brawler
5e0584a88f09854e6e01a6045cb3cabb,RPG
5e0584a88f09854e6e01a6045cb3cabb,Simulator
81df25446d7af06184f2fbdfa7b1a8e8,Adventure
81df25446d7af06184f2fbdfa7b1a8e8,RPG
81df25446d7af06184f2fbdfa7b1a8e8,Shooter
3b89ac990a4cb5bd3405e19089e830e6,Platform
3b89ac990a4cb5bd3405e19089e830e6,Puzzle
3b89ac990a4cb5bd3405e19089e830e6,Shooter
0a3c86c289d14b5670179f78d0f35675,Adventure
0a3c86c289d14b5670179f78d0f35675,Platform
ad252dce9672e94ef9f2fdc67e5a0b83,Adventure
ad252dce9672e94ef9f2fdc67e5a0b83,RPG
ad252dce9672e94ef9f2fdc67e5a0b83,Turn Based Strategy
1718e595171f56fcec7a19b7bf9f5f16,Adventure
1718e595171f56fcec7a19b7bf9f5f16,Brawler
1718e595171f56fcec7a19b7bf9f5f16,Music
1718e595171f56fcec7a19b7bf9f5f16,Platform
a4ccb0a860a7aaa889b97718d8157a4f,Adventure
a4ccb0a860a7aaa889b97718d8157a4f,Brawler
a4ccb0a860a7aaa889b97718d8157a4f,Shooter
a4ccb0a860a7aaa889b97718d8157a4f,Strategy
1f222bc6d4202677ca91fa80260391a6,Adventure
1f222bc6d4202677ca91fa80260391a6,Shooter
0202a04d6561de7b7c56757908b04c4f,Adventure
0202a04d6561de7b7c56757908b04c4f,RPG
0202a04d6561de7b7c56757908b04c4f,Shooter
ada6bb87ea3d5ddf3dd377ecf36b4bbe,Adventure
ada6bb87ea3d5ddf3dd377ecf36b4bbe,Brawler
ade4302851129e38bc346a0608759602,Adventure
ade4302851129e38bc346a0608759602,RPG
e9d81d9c6c5456c14aa6a390a73c5d7f,Adventure
e9d81d9c6c5456c14aa6a390a73c5d7f,Platform
5e85a2992ede8183ca423942f03c5c47,Adventure
5e85a2992ede8183ca423942f03c5c47,Indie
5e85a2992ede8183ca423942f03c5c47,RPG
767bd9d89e2ea32f7e498d6efe212133,Adventure
767bd9d89e2ea32f7e498d6efe212133,Brawler
649a8601a7705e2c7717dcfa0a0bac33,Adventure
649a8601a7705e2c7717dcfa0a0bac33,RPG
c47f1a15c6df37b1030a4f64dc08e21d,Adventure
c47f1a15c6df37b1030a4f64dc08e21d,RPG
0c1bdfbf2f502df1c2be1b9e6bde6cfe,Adventure
0c1bdfbf2f502df1c2be1b9e6bde6cfe,Platform
b3604aba3e75784d32fc073cdd471049,Fighting
b3604aba3e75784d32fc073cdd471049,Platform
123164eedb3dbf5cbaebc17f70a7f37c,Arcade
123164eedb3dbf5cbaebc17f70a7f37c,Indie
123164eedb3dbf5cbaebc17f70a7f37c,Platform
123164eedb3dbf5cbaebc17f70a7f37c,Shooter
1dbeddd3d104f13913498ddbbd22fad2,Adventure
1dbeddd3d104f13913498ddbbd22fad2,Brawler
e0baff17df5b338214a2de18b16b1887,Adventure
e0baff17df5b338214a2de18b16b1887,RPG
e0baff17df5b338214a2de18b16b1887,Turn Based Strategy
913ecd7b125e50022e361dadc2cdb05c,Adventure
913ecd7b125e50022e361dadc2cdb05c,RPG
913ecd7b125e50022e361dadc2cdb05c,Simulator
913ecd7b125e50022e361dadc2cdb05c,Visual Novel
fda0a6369d194836c5e9980390a163a4,Adventure
fda0a6369d194836c5e9980390a163a4,RPG
116148d3105d6ef18dd3aa85e0ea7f78,Adventure
116148d3105d6ef18dd3aa85e0ea7f78,Indie
67648951d83bca2a4d75c5b72ceb1b2a,Adventure
67648951d83bca2a4d75c5b72ceb1b2a,Shooter
57a778fe8b0d51ba382991f405b76998,Adventure
57a778fe8b0d51ba382991f405b76998,Platform
260080d235c238b0db028bd4760afb96,RPG
260080d235c238b0db028bd4760afb96,Shooter
240635a68585701b1628d470d82f7f6f,Adventure
240635a68585701b1628d470d82f7f6f,Indie
240635a68585701b1628d470d82f7f6f,Puzzle
240635a68585701b1628d470d82f7f6f,Simulator
6339c97d81797a180e3b531ea6c29893,Adventure
6339c97d81797a180e3b531ea6c29893,Shooter
6a295b6ea75e5ae2bd52a5c647a7020d,Shooter
76085e9105741615ae3b79c6c948ad4b,Adventure
76085e9105741615ae3b79c6c948ad4b,RPG
76085e9105741615ae3b79c6c948ad4b,Turn Based Strategy
73b4a0f1012362976dfcd61132df775d,Brawler
73b4a0f1012362976dfcd61132df775d,Shooter
39576af79cc2b23bdebd7c18ece49335,Indie
39576af79cc2b23bdebd7c18ece49335,RPG
39576af79cc2b23bdebd7c18ece49335,Simulator
39576af79cc2b23bdebd7c18ece49335,Strategy
c8a4e2e053fe93bf78f1da9369aace7b,Adventure
c8a4e2e053fe93bf78f1da9369aace7b,Shooter
663e0a3e5870511875e114254a5a2dd2,Adventure
663e0a3e5870511875e114254a5a2dd2,Puzzle
ab9eebac09173282ae066ad227cab13c,Adventure
ab9eebac09173282ae066ad227cab13c,RPG
9253f07d143f85a78aba95ec59b29a75,Adventure
9253f07d143f85a78aba95ec59b29a75,RPG
9253f07d143f85a78aba95ec59b29a75,Turn Based Strategy
e0629b93673369380e5022daba974780,Shooter
2be24a7bb3b3887dd985a69d96d9ed2a,Adventure
2be24a7bb3b3887dd985a69d96d9ed2a,RPG
b357abd755032d4062a16989556cb631,Indie
b357abd755032d4062a16989556cb631,Platform
b357abd755032d4062a16989556cb631,Shooter
b357abd755032d4062a16989556cb631,Visual Novel
f6f55a4b11dcd2819b1cadfbec6d844e,Adventure
f6f55a4b11dcd2819b1cadfbec6d844e,Brawler
457fedee87bd91faf51a2c5f4a915d58,Shooter
050fb2a2878d8d86d11bb1d268b4b269,Shooter
9d6579391002d3e09644a90504a46442,Adventure
9d6579391002d3e09644a90504a46442,RPG
0e2312f84e01bc189d37cc77ca27b01d,Adventure
0e2312f84e01bc189d37cc77ca27b01d,Platform
68b9ef84a18802117f333536da33a48f,Adventure
68b9ef84a18802117f333536da33a48f,Card & Board Game
68b9ef84a18802117f333536da33a48f,Indie
68b9ef84a18802117f333536da33a48f,Puzzle
68b9ef84a18802117f333536da33a48f,Strategy
64c353eccfcc9ee06d5caeda7aa87063,Adventure
64c353eccfcc9ee06d5caeda7aa87063,Indie
64c353eccfcc9ee06d5caeda7aa87063,Puzzle
64c353eccfcc9ee06d5caeda7aa87063,RPG
450b4e84441811a8ffa87988ba8ad4f3,Adventure
450b4e84441811a8ffa87988ba8ad4f3,RPG
e1a90d4ccf0f3a54ca16922ee6b2efeb,Adventure
e1a90d4ccf0f3a54ca16922ee6b2efeb,RPG
edbe40f6bf1f29d56afd8b4489401bd9,Adventure
edbe40f6bf1f29d56afd8b4489401bd9,Indie
edbe40f6bf1f29d56afd8b4489401bd9,RPG
edbe40f6bf1f29d56afd8b4489401bd9,Turn Based Strategy
b9e1291fb543964893deefe005fdac1b,Adventure
b9e1291fb543964893deefe005fdac1b,RPG
23e7f47a300d19f49301f93043f20b68,Adventure
032d772c9d0dd20fe8c8c148b0272413,Adventure
032d772c9d0dd20fe8c8c148b0272413,Platform
e5cc919647ec26f4b86be2e67969144f,Adventure
e5cc919647ec26f4b86be2e67969144f,RPG
e5cc919647ec26f4b86be2e67969144f,Shooter
a5f96ad339d507f90411f3fed1219df7,Adventure
a5f96ad339d507f90411f3fed1219df7,Brawler
33bad662547c98943873cf2c4cf601a4,Adventure
33bad662547c98943873cf2c4cf601a4,RPG
4f7ff063fdfca5f7d649a10c984ea514,Adventure
4f7ff063fdfca5f7d649a10c984ea514,RPG
4f7ff063fdfca5f7d649a10c984ea514,Turn Based Strategy
1bc11155a82340f0ee58466e775f4c49,Adventure
