game_id,developer
689ba11bca8f5466e9db0d4c49243889,Nintendo
689ba11bca8f5466e9db0d4c49243889,Intelligent Systems
991c1db8904907559e8af8bcd7e2c857,Game Freak
991c1db8904907559e8af8bcd7e2c857,Nintendo
a78cd1d452b06b8d08f22e2d1b69f8dc,Dennaton Games
a78cd1d452b06b8d08f22e2d1b69f8dc,Devolver Digital
2e9739886a269c86c922e8f3badb751b,Tour De Pizza
14b495ef5a58b664cd6edb81c73c864b,Xbox Game Studios
14b495ef5a58b664cd6edb81c73c864b,Double Fine Productions
63e5e1d31f11a8970444c41d5e930538,Nintendo
63e5e1d31f11a8970444c41d5e930538,Retro Studios
06abcf8a95a2c8926b50d7f869fbbfab,Xbox Game Studios
06abcf8a95a2c8926b50d7f869fbbfab,343 Industries
8564250ce489cf9957be4c1423c0aa1f,Eidos Interactive
8564250ce489cf9957be4c1423c0aa1f,Rocksteady Studios
3832a28358f066c811f10eeb3b16d1e6,Nintendo EAD
3832a28358f066c811f10eeb3b16d1e6,Nintendo
2dedd889c3b229c62b0e0cce62773720,HAL Laboratory
2dedd889c3b229c62b0e0cce62773720,Nintendo
4cc59005c58a73f24586cf375a8bce6f,Player First Games
4cc59005c58a73f24586cf375a8bce6f,WB Games
75233cb2b26367483686d25833ac4621,Monolith Soft
75233cb2b26367483686d25833ac4621,Nintendo
fa297113dc80ac840473e89597654c1b,Sierra Entertainment
fa297113dc80ac840473e89597654c1b,Valve
52b8457d9b92603e6adfddb7bc0267e2,Square Enix
52b8457d9b92603e6adfddb7bc0267e2,Eidos Montréal
563fa9beb6537d90266258f26feb191c,NIS America
563fa9beb6537d90266258f26feb191c,Spike ChunSoft
9baa345626d889d017bc67ba103bfb79,Devolver Digital
9baa345626d889d017bc67ba103bfb79,Massive Monster
97789f38fdf322c81fa8f3ce7deb305c,PagodaWest Games
97789f38fdf322c81fa8f3ce7deb305c,Sega
3118c7396645f5852794a8fff5174d90,Guerrilla Games
3118c7396645f5852794a8fff5174d90,Sony Interactive Entertainment
4be518b370ee917df69342a2f5613bf3,Turtle Rock Studios
4be518b370ee917df69342a2f5613bf3,Valve
09f039c0308c907c5ee02b4b5e03ab4e,GOA Games Services Ltd.
09f039c0308c907c5ee02b4b5e03ab4e,Riot Games
209024e88f649bc5b610c0e4de6ceaa7,505 Games
209024e88f649bc5b610c0e4de6ceaa7,Remedy Entertainment
74864b30ac8e2d8a5a7b37df069c87c1,Team Salvato
f38a3019e454e1eb830bef620243e6ca,DC Entertainment
f38a3019e454e1eb830bef620243e6ca,Rocksteady Studios
ab9a3f792dff0badcb8e3ddcc509529b,Sega
ab9a3f792dff0badcb8e3ddcc509529b,Ryū Ga Gotoku Studios
d7b54248c2a1ce66397c0567f72618ce,Nintendo Australia
d7b54248c2a1ce66397c0567f72618ce,Capcom
d96ac252376958fbe61f2eb28bb27b51,Electronic Arts
d96ac252376958fbe61f2eb28bb27b51,Valve
3b04594d4e565083152a48a857a23e46,Monolith Soft
3b04594d4e565083152a48a857a23e46,Nintendo
6e790ca9cc4a4020dd64e1b9a90257b1,Nintendo
2a58520f4d0465e4c9a089ffd261a8b3,Google
e51c961dd36719cfc758ed95aa4c8291,Askiisoft
e51c961dd36719cfc758ed95aa4c8291,Devolver Digital
149059b34ae59cae468eb0dfa85d0e85,DON'T NOD
149059b34ae59cae468eb0dfa85d0e85,Square Enix
9b895232c6de881b32efb689b716b26f,Bandai Namco Entertainment
9b895232c6de881b32efb689b716b26f,FromSoftware
8d6eb2afd4218c49419c01e3df6b6580,Bethesda Softworks
8d6eb2afd4218c49419c01e3df6b6580,Arkane Studios
ecd4ef4a40cbb7024f5518a33d7474f2,"Sony Computer Entertainment, Inc. (SCEI)"
ecd4ef4a40cbb7024f5518a33d7474f2,Team Ico
4a79c0bfb642f20cb4f600e5083cb23b,DotEmu
4a79c0bfb642f20cb4f600e5083cb23b,Tribute Games
0e7d12218e0145bfb8daa2ef80ff9e96,Sloclap
0e7d12218e0145bfb8daa2ef80ff9e96,Kepler Interactive
8473025f6d69c933afe3cd401108b59a,Nintendo R&D4
8473025f6d69c933afe3cd401108b59a,Nintendo
360a9f306cce92a4120a5e4647468c21,Arkane Studios
360a9f306cce92a4120a5e4647468c21,Bethesda Softworks
9d7a8b54ee7a6dfe8bde3d88f4d1f63c,Konami Computer Entertainment Japan
9d7a8b54ee7a6dfe8bde3d88f4d1f63c,Konami
7691100442144608d128d3e31450b6e2,Sony Computer Entertainment
7691100442144608d128d3e31450b6e2,ThatGameCompany
63194c6020e7da50146d4435bf6cc0a5,Square
63194c6020e7da50146d4435bf6cc0a5,Disney Interactive Studios
f71697e1afe1ff39ca7546890a58ff0b,Respawn Entertainment
f71697e1afe1ff39ca7546890a58ff0b,Electronic Arts
1992589ce00bfea0e5a33c0fd11305ab,Activision
1992589ce00bfea0e5a33c0fd11305ab,id Software
a9407e84b75412ee2e7e3403e743903c,Square Enix
5865ed01198aef709314d622b3f45b93,Naughty Dog
5865ed01198aef709314d622b3f45b93,Sony Computer Entertainment
6124eae00c97b55ff5551bb6b639b4ab,Sonic Team
6124eae00c97b55ff5551bb6b639b4ab,Sega
1581102a7ef2aca4c3651bc5bdb90392,Psyonix
e93cce0d4699693cc463ac682dc07524,Rocksteady Studios
e93cce0d4699693cc463ac682dc07524,Warner Bros. Interactive Entertainment
739a47a507f51a1fe91a96eb6ab9aae6,PlatinumGames
739a47a507f51a1fe91a96eb6ab9aae6,Nintendo
6c685e0034afa83ecef4e86e6c3030c3,ZA/UM
749e51c1240b962adf6bf21685ac80a4,Bandai Namco Studios
749e51c1240b962adf6bf21685ac80a4,Arc System Works
289d96100b2c6f23fc278fb3299ecf44,Nintendo
289d96100b2c6f23fc278fb3299ecf44,Nintendo EAD Group No. 2
58ea57054aec877080abc68f4b36a667,Portkey Games
58ea57054aec877080abc68f4b36a667,Avalanche Software
3568b0c7976dbff583cbbc10416f24df,Nintendo
3568b0c7976dbff583cbbc10416f24df,Nintendo EAD
